Participant_ID,Dates,Distance
p11,2020-04-07,-4.9779016205511395
p11,2020-04-08,-6.122537417941408
p11,2020-04-09,-6.185778353944075
p11,2020-04-10,-2.0228849838170064
p11,2020-04-11,-4.6336940209413955
p11,2020-04-12,-2.642317338238386
p11,2020-04-13,-5.939197638423421
p11,2020-04-14,-5.720155438662152
p11,2020-04-15,-6.86479123604649
p11,2020-04-16,-6.928032172060768
p11,2020-04-17,-2.7651388019277228
p11,2020-04-18,-5.3759478390502
p11,2020-04-19,-3.3845711563433234
p11,2020-04-20,-6.681451456529728
p11,2020-04-21,-6.4624092567677645
p11,2020-04-22,-7.607045054162574
p11,2020-04-23,-7.670285990168876
p11,2020-04-24,-3.50739262003844
p11,2020-04-25,-6.118201657157713
p11,2020-04-26,-4.126824974452503
p11,2020-04-27,-7.423705274632711
p11,2020-04-28,-7.204663074868068
p11,2020-04-29,-8.349298872256659
p11,2020-04-30,-8.412539808267876
p11,2020-05-01,-4.249646438144158
p11,2020-05-02,-6.860455475263571
p11,2020-05-03,-4.869078792561684
p11,2020-05-04,-8.16595909273902
p11,2020-05-05,-7.946916892989788
p11,2020-05-06,-9.09155269037274
p11,2020-05-07,-9.154793626375987
p11,2020-05-08,-4.9919002562548735
p11,2020-05-09,-7.602709293371083
p11,2020-05-10,-5.611332610670866
p11,2020-05-11,-8.908212910853626
p11,2020-05-12,-8.689170711090092
p11,2020-05-13,-9.833806508477863
p11,2020-05-14,-9.897047444484095
p11,2020-05-15,-5.734154074360179
p11,2020-05-16,-8.344963111479888
p11,2020-05-17,-6.353586428775801
p11,2020-05-18,-9.650466728948311
p11,2020-05-19,-9.431424529190396
p11,2020-05-20,-10.576060326582944
p11,2020-05-21,-10.639301262592205
p11,2020-05-22,-6.476407892465481
p11,2020-05-23,-9.0872169295874
p11,2020-05-24,-7.095840246881564
p11,2020-05-25,-10.392720547062918
p11,2020-05-26,-10.173678347301406
p11,2020-05-27,-11.318314144688031
p11,2020-05-28,-11.381555080699787
