Participant_ID,Dates,Steps
p02,2020-05-15,-874.3061866294865
p02,2020-05-16,-235.41033179785654
p02,2020-05-17,2374.475232553771
p02,2020-05-18,4049.5452610384336
p02,2020-05-19,1437.7354297271213
p02,2020-05-20,4078.3836156347097
p02,2020-05-21,3851.5054940743553
p02,2020-05-22,-1671.8920182475797
p02,2020-05-23,-1032.996163411353
p02,2020-05-24,1576.8894009290213
p02,2020-05-25,3251.9594294248323
p02,2020-05-26,640.1495981143
p02,2020-05-27,3280.797784021148
p02,2020-05-28,3053.919662467369
p02,2020-05-29,-2469.4778498492856
p02,2020-05-30,-1830.5819950248513
p02,2020-05-31,779.3035693172609
p02,2020-06-01,2454.3735978086615
p02,2020-06-02,-157.43623349852237
p02,2020-06-03,2483.211952413004
p02,2020-06-04,2256.3338308572465
p02,2020-06-05,-3267.063681463194
p02,2020-06-06,-2628.167826633922
p02,2020-06-07,-18.282262294499674
p02,2020-06-08,1656.7877661924886
p02,2020-06-09,-955.0220651131758
p02,2020-06-10,1685.6261207940242
p02,2020-06-11,1458.7479992364545
p02,2020-06-12,-4064.6495130812864
p02,2020-06-13,-3425.753658247416
p02,2020-06-14,-815.8680939194484
p02,2020-06-15,859.2019345763167
p02,2020-06-16,-1752.6078967304315
p02,2020-06-17,888.0402891858826
p02,2020-06-18,661.1621676209984
p02,2020-06-19,-4862.235344699375
p02,2020-06-20,-4223.3394898717925
p02,2020-06-21,-1613.4539255310096
p02,2020-06-22,61.616102962716695
p02,2020-06-23,-2550.193728338818
p02,2020-06-24,90.4544575777386
p02,2020-06-25,-136.4236639806527
p02,2020-06-26,-5659.8211763174695
p02,2020-06-27,-5020.925321483077
p02,2020-06-28,-2411.0397571429694
p02,2020-06-29,-735.9697286534556
p02,2020-06-30,-3347.7795599560786
p02,2020-07-01,-707.1313740459336
p02,2020-07-02,-934.0094955961122
p02,2020-07-03,-6457.407007931375
p02,2020-07-04,-5818.511153094359
p02,2020-07-05,-3208.625588754929
p02,2020-07-06,-1533.5555602617937
p02,2020-07-07,-4145.365391568899
p02,2020-07-08,-1504.7172056594954
p02,2020-07-09,-1731.5953272169008
p02,2020-07-10,-7254.992839553652
p02,2020-07-11,-6616.096984707856
p02,2020-07-12,-4006.2114203664896
p02,2020-07-13,-2331.1413918779663
p02,2020-07-14,-4942.9512231817225
p02,2020-07-15,-2302.30303727306
p02,2020-07-16,-2529.1811588376872
p02,2020-07-17,-8052.578671151176
p02,2020-07-18,-7413.68281633223
p02,2020-07-19,-4803.79725197845
p02,2020-07-20,-3128.727223491566
p02,2020-07-21,-5740.537054794548
p02,2020-07-22,-3099.888868891312
p02,2020-07-23,-3326.7669904478144
p02,2020-07-24,-8850.164502769268
p02,2020-07-25,-8211.268647943514
p02,2020-07-26,-5601.38308359021
p02,2020-07-27,-3926.313055110313
p02,2020-07-28,-6538.12288641363
p02,2020-07-29,-3897.4747005102945
p02,2020-07-30,-4124.352822068603
p02,2020-07-31,-9647.750334387358
p02,2020-08-01,-9008.854479554799
p02,2020-08-02,-6398.968915215159
p02,2020-08-03,-4723.89888672391
p02,2020-08-04,-7335.708718026453
p02,2020-08-05,-4695.0605321184385
p02,2020-08-06,-4921.9386536840575
p02,2020-08-07,-10445.336166005452
p02,2020-08-08,-9806.440311168295
p02,2020-08-09,-7196.5547468267205
p02,2020-08-10,-5521.4847183375105
p02,2020-08-11,-8133.294549639279
p02,2020-08-12,-5492.646363731998
p02,2020-08-13,-5719.524485285714
p02,2020-08-14,-11242.921997602974
p02,2020-08-15,-10604.026142777366
p02,2020-08-16,-7994.14057843868
p02,2020-08-17,-6319.070549956257
p02,2020-08-18,-8930.880381253926
p02,2020-08-19,-6290.232195345563
p02,2020-08-20,-6517.110316901169
p02,2020-08-21,-12040.50782921688
p02,2020-08-22,-11401.61197439086
p02,2020-08-23,-8791.72641005044
p02,2020-08-24,-7116.656381562024
p02,2020-08-25,-9728.466212871184
p02,2020-08-26,-7087.818026959121
p02,2020-08-27,-7314.69614852196
p02,2020-08-28,-12838.09366083916
p02,2020-08-29,-12199.197806015232
p02,2020-08-30,-9589.312241662203
p02,2020-08-31,-7914.242213178193
p02,2020-09-01,-10526.052044479573
p02,2020-09-02,-7885.403858567266
p02,2020-09-03,-8112.281980132084
p02,2020-09-04,-13635.679492453062
p02,2020-09-05,-12996.783637626522
p02,2020-09-06,-10386.89807327396
p02,2020-09-07,-8711.828044791793
p02,2020-09-08,-11323.637876096833
p02,2020-09-09,-8682.989690190938
p02,2020-09-10,-8909.867811739066
p02,2020-09-11,-14433.265324071159
p02,2020-09-12,-13794.369469237805
p02,2020-09-13,-11184.483904885918
p02,2020-09-14,-9509.413876402707
p02,2020-09-15,-12121.22370771409
p02,2020-09-16,-9480.575521804501
p02,2020-09-17,-9707.453643354525
p02,2020-09-18,-15230.851155689248
p02,2020-09-19,-14591.9553008513
p02,2020-09-20,-11982.069736510472
p02,2020-09-21,-10306.999708016303
p02,2020-09-22,-12918.809539322476
p02,2020-09-23,-10278.161353418067
p02,2020-09-24,-10505.039474975312
p02,2020-09-25,-16028.436987290956
p02,2020-09-26,-15389.541132464798
p02,2020-09-27,-12779.655568122433
p02,2020-09-28,-11104.585539632473
p02,2020-09-29,-13716.395370939736
p02,2020-09-30,-11075.747185026206
p02,2020-10-01,-11302.62530658544
p02,2020-10-02,-16826.02281890486
p02,2020-10-03,-16187.126964073866
p02,2020-10-04,-13577.241399734192
p02,2020-10-05,-11902.171371248654
p02,2020-10-06,-14513.981202554385
p02,2020-10-07,-11873.333016645185
p02,2020-10-08,-12100.211138206232
p02,2020-10-09,-17623.608650527145
p02,2020-10-10,-16984.712795687363
p02,2020-10-11,-14374.827231358944
p02,2020-10-12,-12699.757202864823
p02,2020-10-13,-15311.56703417164
p02,2020-10-14,-12670.918848263442
p02,2020-10-15,-12897.796969821686
