Participant_ID,Dates,Minutes_Asleep
p09,2021-02-09,966.2268464674792
p09,2021-02-10,1083.7642270325073
p09,2021-02-11,1069.5691809432456
p09,2021-02-12,1076.8343094791792
p09,2021-02-13,975.4957668762428
p09,2021-02-14,1073.868067780107
p09,2021-02-15,1112.6753971276232
p09,2021-02-16,979.2380498206301
p09,2021-02-17,1096.7754303857605
p09,2021-02-18,1082.5803842963933
p09,2021-02-19,1089.8455128322767
p09,2021-02-20,988.5069702295589
p09,2021-02-21,1086.8792711336462
p09,2021-02-22,1125.6866004811513
p09,2021-02-23,992.2492531741469
p09,2021-02-24,1109.7866337391272
p09,2021-02-25,1095.5915876496413
p09,2021-02-26,1102.8567161853741
p09,2021-02-27,1001.5181735828745
p09,2021-02-28,1099.8904744865379
p09,2021-03-01,1138.6978038343707
p09,2021-03-02,1005.2604565272974
p09,2021-03-03,1122.797837092381
p09,2021-03-04,1108.6027910028022
p09,2021-03-05,1115.8679195389104
p09,2021-03-06,1014.529376935771
p09,2021-03-07,1112.9016778400771
p09,2021-03-08,1151.709007187614
p09,2021-03-09,1018.2716598804484
p09,2021-03-10,1135.809040445691
p09,2021-03-11,1121.6139943561382
p09,2021-03-12,1128.8791228922219
p09,2021-03-13,1027.5405802893854
p09,2021-03-14,1125.9128811936164
p09,2021-03-15,1164.7202105408574
p09,2021-03-16,1031.2828632335988
p09,2021-03-17,1148.8202437986083
p09,2021-03-18,1134.6251977092986
p09,2021-03-19,1141.8903262453196
p09,2021-03-20,1040.5517836424026
p09,2021-03-21,1138.9240845468316
p09,2021-03-22,1177.7314138943614
p09,2021-03-23,1044.294066586939
p09,2021-03-24,1161.8314471519184
p09,2021-03-25,1147.6364010624595
p09,2021-03-26,1154.901529598417
p09,2021-03-27,1053.5629869957183
p09,2021-03-28,1151.935287899699
p09,2021-03-29,1190.74261724732
p09,2021-03-30,1057.3052699399007
p09,2021-03-31,1174.842650505172
p10,2020-04-02,490.302593571529
p10,2020-04-03,440.2278803338916
p10,2020-04-04,514.2483169586706
p10,2020-04-05,530.5660053993952
p10,2020-04-06,422.20066572164365
p10,2020-04-07,484.27379779190596
p10,2020-04-08,484.39964867604766
p10,2020-04-09,496.39118643247156
p10,2020-04-10,446.316473195158
p10,2020-04-11,520.3369098198833
p10,2020-04-12,536.6545982605784
p10,2020-04-13,428.28925858271145
p10,2020-04-14,490.3623906529753
p10,2020-04-15,490.4882415370853
p10,2020-04-16,502.47977929365186
p10,2020-04-17,452.4050660560579
p10,2020-04-18,526.4255026807004
p10,2020-04-19,542.7431911214154
p10,2020-04-20,434.37785144366507
p10,2020-04-21,496.45098351379124
p10,2020-04-22,496.5768343980674
p10,2020-04-23,508.56837215459444
p10,2020-04-24,458.4936589169577
p10,2020-04-25,532.5140955419132
p10,2020-04-26,548.8317839824256
p10,2020-04-27,440.4664443048186
p10,2020-04-28,502.5395763748281
p10,2020-04-29,502.6654272591605
p10,2020-04-30,514.6569650156696
p10,2020-05-01,464.5822517780838
p10,2020-05-02,538.6026884026854
p10,2020-05-03,554.9203768434357
p10,2020-05-04,446.5550371657722
p10,2020-05-05,508.6281692359298
p10,2020-05-06,508.75402012014257
p10,2020-05-07,520.7455578766122
p10,2020-05-08,470.6708446389837
p10,2020-05-09,544.6912812638982
p10,2020-05-10,561.0089697044459
p10,2020-05-11,452.6436300268399
p10,2020-05-12,514.7167620969666
p10,2020-05-13,514.8426129811304
p10,2020-05-14,526.8341507375548
p10,2020-05-15,476.7594375000667
p10,2020-05-16,550.7798741247154
p10,2020-05-17,567.0975625652829
p10,2020-05-18,458.73222288787935
p10,2020-05-19,520.8053549580035
p10,2020-05-20,520.9312058421679
p10,2020-05-21,532.9227435984973
p10,2020-05-22,482.8480303611499
p10,2020-05-23,556.8684669859282
p10,2020-05-24,573.1861554265419
p10,2020-05-25,464.82081574894715
p10,2020-05-26,526.8939478190728
p10,2020-05-27,527.0197987032054
p10,2020-05-28,539.0113364598102
p10,2020-05-29,488.9366232220926
p10,2020-05-30,562.9570598471408
p10,2020-05-31,579.2747482875519
p10,2020-06-01,470.9094086099008
p10,2020-06-02,532.9825406801422
p10,2020-06-03,533.1083915641876
p10,2020-06-04,545.0999293206202
p10,2020-06-05,495.02521608299236
p10,2020-06-06,569.0456527079581
p10,2020-06-07,585.3633411485621
p10,2020-06-08,476.99800147085443
p10,2020-06-09,539.0711335409582
