Participant_ID,Dates,Steps
p04,2019-11-07,2663.0
p04,2019-11-08,4081.0
p04,2019-11-11,3824.0
p04,2019-11-12,7388.0
p04,2019-11-13,6075.0
p04,2019-11-14,470.0
p04,2019-11-15,4682.0
p04,2019-11-17,9017.0
p04,2019-11-18,5286.0
p04,2019-11-19,3607.0
p04,2019-11-20,2202.0
p04,2019-11-21,1687.0
p04,2019-11-22,2223.0
p04,2019-11-23,1625.0
p04,2019-11-24,10071.0
p04,2019-11-25,7352.0
p04,2019-11-26,6427.0
p04,2019-11-28,5631.0
p04,2019-11-29,1095.0
p04,2019-11-30,2023.0
p04,2019-12-01,1513.0
p04,2019-12-02,5724.0
p04,2019-12-03,7611.0
p04,2019-12-05,2429.0
p04,2019-12-09,4534.0
p04,2019-12-10,5564.0
p04,2019-12-11,1546.0
p04,2019-12-12,5821.0
p04,2019-12-14,9664.0
p04,2019-12-15,1652.0
p04,2019-12-16,11313.0
p04,2019-12-17,6031.0
p04,2019-12-19,4783.0
p04,2019-12-20,1053.0
p04,2019-12-21,1361.0
p04,2019-12-22,3241.0
p04,2019-12-23,8790.0
p04,2019-12-24,1834.0
p04,2019-12-25,4681.0
p04,2019-12-26,12137.0
p04,2019-12-28,2541.0
p04,2019-12-29,5832.0
p04,2019-12-30,3691.0
p04,2019-12-31,1697.0
p04,2020-01-02,6031.0
p04,2020-01-03,5050.0
p04,2020-01-04,1511.0
p04,2020-01-06,2556.0
p04,2020-01-08,8493.0
p04,2020-01-09,7042.0
p04,2020-01-12,5761.0
p04,2020-01-13,3378.0
p04,2020-01-14,7415.0
p04,2020-01-15,7131.0
p04,2020-01-16,4270.0
p04,2020-01-17,8155.0
p04,2020-01-19,7126.0
p04,2020-01-20,7582.0
p04,2020-01-21,10900.0
p04,2020-01-22,1453.0
p04,2020-01-23,10346.0
p04,2020-01-24,8793.0
p04,2020-01-26,2914.0
p04,2020-01-27,4454.0
p04,2020-01-28,18136.0
p04,2020-01-30,582.0
p04,2020-01-31,2753.0
p04,2020-02-01,9592.0
p04,2020-02-02,2899.0
p04,2020-02-03,10914.0
p04,2020-02-04,5003.0
p04,2020-02-05,7055.0
p04,2020-02-07,1939.0
p04,2020-02-09,433.0
p04,2020-02-10,2183.0
p04,2020-02-11,7697.0
p04,2020-02-12,3771.0
p04,2020-02-15,2480.0
p04,2020-02-16,3280.0
p04,2020-02-17,4749.0
p04,2020-02-18,533.0
p04,2020-02-20,2922.0
p04,2020-02-21,1680.0
p04,2020-02-22,1203.0
p04,2020-02-24,5497.0
p04,2020-02-26,3895.0
p04,2020-02-27,6732.0
p04,2020-02-29,6597.0
p04,2020-03-01,5994.0
p04,2020-03-03,4218.0
p04,2020-03-04,1812.0
p04,2020-03-05,2952.0
p04,2020-03-06,1388.0
p04,2020-03-07,1432.0
p04,2020-03-08,1869.0
p04,2020-03-09,7793.0
p04,2020-03-10,5606.0
p04,2020-03-11,2374.0
p04,2020-03-13,7111.0
p04,2020-03-14,5943.0
p04,2020-03-16,919.0
p04,2020-03-17,4835.0
p04,2020-03-18,4575.0
p04,2020-03-19,1063.0
p04,2020-03-20,5535.0
p04,2020-03-22,3925.0
p04,2020-03-23,10412.0
p04,2020-03-24,1863.0
p04,2020-03-25,6757.0
p04,2020-03-26,7793.0
p04,2020-03-27,3564.0
p04,2020-03-28,9950.0
p04,2020-03-29,3322.0
p04,2020-03-30,2300.0
p05,2019-11-01,1110.0
p05,2019-11-02,2311.0
p05,2019-11-05,0.0
p05,2019-11-07,6497.0
p05,2019-11-09,900.0
p05,2019-11-13,0.0
p05,2019-11-14,0.0
p05,2019-11-15,3419.0
p05,2019-11-17,3147.0
p05,2019-11-20,2382.0
p05,2019-11-22,1409.0
p05,2019-11-24,1124.0
p05,2019-11-27,0.0
p05,2019-11-29,1576.0
p05,2019-11-30,3347.0
p05,2019-12-01,7381.0
p05,2019-12-04,0.0
p05,2019-12-05,3543.0
p05,2019-12-06,3513.0
p05,2019-12-08,2404.0
p05,2019-12-09,0.0
p05,2019-12-11,4204.0
p05,2019-12-12,6484.0
p05,2019-12-13,0.0
p05,2019-12-14,1207.0
p05,2019-12-16,0.0
p05,2019-12-17,0.0
p05,2019-12-19,5867.0
p05,2019-12-20,0.0
p05,2019-12-21,3465.0
p05,2019-12-22,2304.0
p05,2019-12-24,1251.0
p05,2019-12-30,1105.0
p05,2019-12-31,7695.0
p05,2020-01-01,1536.0
p05,2020-01-02,8344.0
p05,2020-01-03,6013.0
p05,2020-01-04,2510.0
p05,2020-01-05,4591.0
p05,2020-01-06,12366.0
p05,2020-01-07,11702.0
p05,2020-01-08,0.0
p05,2020-01-09,3797.0
p05,2020-01-10,1480.0
p05,2020-01-12,2313.0
p05,2020-01-13,3765.0
p05,2020-01-14,3220.0
p05,2020-01-15,3720.0
p05,2020-01-16,0.0
p05,2020-01-19,4807.0
p05,2020-01-20,2015.0
p05,2020-01-22,0.0
p05,2020-01-23,1274.0
p05,2020-01-24,7285.0
p05,2020-01-25,5904.0
p05,2020-01-26,5453.0
p05,2020-01-27,0.0
p05,2020-01-28,0.0
p05,2020-01-29,0.0
p05,2020-01-31,0.0
p05,2020-02-01,2278.0
p05,2020-02-03,0.0
p05,2020-02-04,1860.0
p05,2020-02-05,0.0
p05,2020-02-06,0.0
p05,2020-02-07,1345.0
p05,2020-02-13,246.0
p05,2020-02-15,6397.0
p05,2020-02-17,0.0
p05,2020-02-18,0.0
p05,2020-02-19,1357.0
p05,2020-02-20,0.0
p05,2020-03-07,3209.0
p05,2020-03-08,1258.0
p05,2020-03-12,2841.0
p05,2020-03-13,2794.0
p05,2020-03-16,4951.0
p05,2020-03-17,7454.0
p05,2020-03-18,9751.0
p05,2020-03-21,2203.0
p05,2020-03-22,7689.0
p05,2020-03-23,1635.0
p05,2020-03-24,1362.0
p05,2020-03-26,0.0
p05,2020-03-28,3503.0
p05,2020-03-29,4473.0
p06,2019-11-02,10126.0
p06,2019-11-03,1095.0
p06,2019-11-04,6769.0
p06,2019-11-05,7385.0
p06,2019-11-06,0.0
p06,2019-11-07,0.0
p06,2019-11-08,0.0
p06,2019-11-11,5013.0
p06,2019-11-12,5417.0
p06,2019-11-13,5467.0
p06,2019-11-14,8042.0
p06,2019-11-16,7465.0
p06,2019-11-17,5442.0
p06,2019-11-18,8318.0
p06,2019-11-20,6626.0
p06,2019-11-24,10877.0
p06,2019-11-25,0.0
p06,2019-11-28,0.0
p06,2019-11-30,2291.0
p06,2019-12-01,4078.0
p06,2019-12-04,4955.0
p06,2019-12-09,6495.0
p06,2019-12-14,1460.0
p06,2019-12-17,1476.0
p06,2019-12-22,6641.0
p06,2019-12-23,1682.0
p06,2019-12-24,5786.0
p06,2019-12-29,4568.0
p06,2019-12-30,0.0
p06,2020-01-02,3605.0
p06,2020-01-03,6315.0
p06,2020-01-05,4812.0
p06,2020-01-06,6449.0
p06,2020-01-07,5856.0
p06,2020-01-08,0.0
p06,2020-01-09,0.0
p06,2020-01-10,0.0
p06,2020-01-13,0.0
p06,2020-01-14,5354.0
p06,2020-01-15,3594.0
p06,2020-01-16,0.0
p06,2020-01-17,0.0
p06,2020-01-18,1864.0
p06,2020-01-19,6247.0
p06,2020-01-20,0.0
p06,2020-01-21,5416.0
p06,2020-01-22,0.0
p06,2020-01-23,0.0
p06,2020-01-25,5540.0
p06,2020-01-26,2996.0
p06,2020-01-27,3237.0
p06,2020-01-28,322.0
p06,2020-01-29,0.0
p06,2020-01-30,4291.0
p06,2020-01-31,4274.0
p06,2020-02-02,4765.0
p06,2020-02-03,795.0
p06,2020-02-04,0.0
p06,2020-02-05,1182.0
p06,2020-02-06,4103.0
p06,2020-02-07,0.0
p06,2020-02-09,4527.0
p06,2020-02-10,0.0
p06,2020-02-11,6057.0
p06,2020-02-13,1640.0
p06,2020-02-17,6821.0
p06,2020-02-18,0.0
p06,2020-02-19,0.0
p06,2020-02-20,1641.0
p06,2020-02-21,4543.0
p06,2020-02-22,1169.0
p06,2020-02-23,1783.0
p06,2020-02-24,4921.0
p06,2020-02-25,0.0
p06,2020-02-26,6040.0
p06,2020-02-27,6480.0
p06,2020-02-29,3833.0
p06,2020-03-02,0.0
p06,2020-03-03,0.0
p06,2020-03-04,5003.0
p06,2020-03-09,7760.0
p06,2020-03-11,4880.0
p06,2020-03-13,1379.0
p06,2020-03-14,572.0
p06,2020-03-18,4539.0
p06,2020-03-21,6139.0
p06,2020-03-26,4770.0
p06,2020-03-28,1848.0
p06,2020-03-30,4582.0
p07,2019-11-06,6392.0
p07,2019-11-07,9350.0
p07,2019-11-08,1954.0
p07,2019-11-09,21171.0
p07,2019-11-11,9366.0
p07,2019-11-13,8918.0
p07,2019-11-14,7992.0
p07,2019-11-15,4294.0
p07,2019-11-16,5153.0
p07,2019-11-17,16470.0
p07,2019-11-18,4267.0
p07,2019-11-19,3286.0
p07,2019-11-20,12545.0
p07,2019-11-21,10017.0
p07,2019-11-23,3591.0
p07,2019-11-24,13897.0
p07,2019-11-25,7302.0
p07,2019-11-26,7911.0
p07,2019-11-27,8846.0
p07,2019-11-28,5596.0
p07,2019-11-30,5020.0
p07,2019-12-01,18355.0
p07,2019-12-02,11265.0
p07,2019-12-03,5160.0
p07,2019-12-04,8280.0
p07,2019-12-05,8997.0
p07,2019-12-06,9157.0
p07,2019-12-07,9837.0
p07,2019-12-08,24119.0
p07,2019-12-09,10655.0
p07,2019-12-10,7028.0
p07,2019-12-11,9040.0
p07,2019-12-12,9735.0
p07,2019-12-13,9115.0
p07,2019-12-14,8399.0
p07,2019-12-15,7812.0
p07,2019-12-16,9684.0
p07,2019-12-17,7263.0
p07,2019-12-18,11544.0
p07,2019-12-19,7431.0
p07,2019-12-20,6894.0
p07,2019-12-21,5561.0
p07,2019-12-23,6407.0
p07,2019-12-24,10405.0
p07,2019-12-25,5751.0
p07,2019-12-26,10658.0
p07,2019-12-27,10399.0
p07,2019-12-28,6598.0
p07,2019-12-29,2604.0
p07,2019-12-30,8724.0
p07,2019-12-31,7116.0
p07,2020-01-01,6705.0
p07,2020-01-02,6863.0
p07,2020-01-04,16187.0
p07,2020-01-08,3492.0
p07,2020-01-09,4396.0
p07,2020-01-11,1022.0
p07,2020-01-13,5100.0
p07,2020-01-14,6419.0
p07,2020-01-15,7135.0
p07,2020-01-16,7854.0
p07,2020-01-17,8903.0
p07,2020-01-18,8435.0
p07,2020-01-20,4841.0
p07,2020-01-21,9813.0
p07,2020-01-22,7371.0
p07,2020-01-23,10378.0
p07,2020-01-24,1819.0
p07,2020-01-25,6731.0
p07,2020-01-26,4446.0
p07,2020-01-27,9009.0
p07,2020-01-28,9787.0
p07,2020-01-29,6450.0
p07,2020-01-30,7472.0
p07,2020-01-31,11463.0
p07,2020-02-01,11394.0
p07,2020-02-02,6964.0
p07,2020-02-03,2436.0
p07,2020-02-04,9796.0
p07,2020-02-05,3623.0
p07,2020-02-06,880.0
p07,2020-02-07,10541.0
p07,2020-02-08,8863.0
p07,2020-02-09,8369.0
p07,2020-02-10,9966.0
p07,2020-02-11,4987.0
p07,2020-02-12,9506.0
p07,2020-02-13,11048.0
p07,2020-02-14,4610.0
p07,2020-02-15,9692.0
p07,2020-02-16,5174.0
p07,2020-02-17,7840.0
p07,2020-02-18,9136.0
p07,2020-02-19,7571.0
p07,2020-02-20,8129.0
p07,2020-02-21,6254.0
p07,2020-02-22,5966.0
p07,2020-02-23,11210.0
p07,2020-02-24,8343.0
p07,2020-02-25,6501.0
p07,2020-02-26,10201.0
p07,2020-02-27,6309.0
p07,2020-02-28,11580.0
p07,2020-02-29,5877.0
p07,2020-03-01,6712.0
p07,2020-03-03,1513.0
p07,2020-03-04,5205.0
p07,2020-03-05,1684.0
p07,2020-03-07,1629.0
p07,2020-03-08,9544.0
p07,2020-03-11,8937.0
p07,2020-03-12,8159.0
p07,2020-03-13,4506.0
p07,2020-03-14,7873.0
p07,2020-03-16,9563.0
p07,2020-03-17,11498.0
p07,2020-03-18,10706.0
p07,2020-03-19,2749.0
p07,2020-03-20,6715.0
p07,2020-03-21,11639.0
p07,2020-03-23,9983.0
p07,2020-03-24,13495.0
p07,2020-03-26,8893.0
p07,2020-03-30,1513.0
p08,2019-11-11,8839.0
p08,2019-11-12,16511.0
p08,2019-11-13,2930.0
p08,2019-11-14,10115.0
p08,2019-11-15,6619.0
p08,2019-11-16,5603.0
p08,2019-11-17,15795.0
p08,2019-11-18,7756.0
p08,2019-11-19,8750.0
p08,2019-11-20,9861.0
p08,2019-11-21,7963.0
p08,2019-11-22,4952.0
p08,2019-11-23,11543.0
p08,2019-11-24,12307.0
p08,2019-11-25,9904.0
p08,2019-11-26,9004.0
p08,2019-11-27,5330.0
p08,2019-11-28,11888.0
p08,2019-11-29,6225.0
p08,2019-11-30,13596.0
p08,2019-12-01,22467.0
p08,2019-12-02,15016.0
p08,2019-12-03,11356.0
p08,2019-12-04,12509.0
p08,2019-12-05,5496.0
p08,2019-12-06,5494.0
p08,2019-12-07,5635.0
p08,2019-12-08,21641.0
p08,2019-12-09,3616.0
p08,2019-12-10,10010.0
p08,2019-12-11,8775.0
p08,2019-12-12,5788.0
p08,2019-12-17,7624.0
p08,2019-12-18,8010.0
p08,2019-12-19,8164.0
p08,2019-12-20,1661.0
p08,2019-12-21,18366.0
p08,2019-12-22,8613.0
p08,2019-12-23,11956.0
p08,2019-12-24,0.0
p08,2019-12-26,5484.0
p08,2019-12-27,9671.0
p08,2019-12-29,8942.0
p08,2019-12-30,8837.0
p08,2019-12-31,5756.0
p08,2020-01-01,15474.0
p08,2020-01-02,8687.0
p08,2020-01-03,1556.0
p08,2020-01-04,14715.0
p08,2020-01-05,8997.0
p08,2020-01-06,6601.0
p08,2020-01-07,9501.0
p08,2020-01-08,1829.0
p08,2020-01-09,6891.0
p08,2020-01-10,15246.0
p08,2020-01-11,711.0
p08,2020-01-18,5543.0
p08,2020-01-19,6723.0
p08,2020-01-21,11535.0
p08,2020-01-23,6375.0
p08,2020-01-26,6949.0
p08,2020-01-27,1060.0
p08,2020-01-29,3600.0
p08,2020-01-31,8796.0
p08,2020-02-01,9394.0
p08,2020-02-02,10646.0
p08,2020-02-03,12231.0
p08,2020-02-04,11215.0
p08,2020-02-05,1500.0
p08,2020-02-06,12444.0
p08,2020-02-07,15153.0
p08,2020-02-08,12388.0
p08,2020-02-09,24082.0
p08,2020-02-10,8245.0
p08,2020-02-11,8447.0
p08,2020-02-12,11972.0
p08,2020-02-13,6597.0
p08,2020-02-14,9132.0
p08,2020-02-15,10067.0
p08,2020-02-16,12154.0
p08,2020-02-17,11214.0
p08,2020-02-18,9509.0
p08,2020-02-20,9492.0
p08,2020-02-21,19350.0
p08,2020-02-23,23554.0
p08,2020-02-24,7481.0
p08,2020-02-25,18827.0
p08,2020-02-26,10995.0
p08,2020-02-27,10122.0
p08,2020-02-28,13731.0
p08,2020-02-29,7036.0
p08,2020-03-01,3080.0
p08,2020-03-02,5185.0
p08,2020-03-03,6454.0
p08,2020-03-04,9721.0
p08,2020-03-05,7829.0
p08,2020-03-06,6026.0
p08,2020-03-07,9768.0
p08,2020-03-08,13411.0
p08,2020-03-09,4085.0
p08,2020-03-10,8130.0
p08,2020-03-11,2359.0
p08,2020-03-12,11371.0
p08,2020-03-13,7223.0
p08,2020-03-14,1732.0
p08,2020-03-15,14464.0
p08,2020-03-16,6436.0
p08,2020-03-17,13435.0
p08,2020-03-18,9026.0
p08,2020-03-19,14529.0
p08,2020-03-20,9379.0
p08,2020-03-21,15628.0
p08,2020-03-22,12640.0
p08,2020-03-23,3991.0
p08,2020-03-24,11171.0
p08,2020-03-25,8560.0
p08,2020-03-26,10036.0
p08,2020-03-27,8198.0
p08,2020-03-28,17606.0
p08,2020-03-29,2243.0
p08,2020-03-30,18316.0
p08,2020-03-31,3869.0
p09,2019-11-03,5555.0
p09,2019-11-13,1419.0
p09,2019-11-15,3082.0
p09,2019-11-23,2446.0
p09,2019-11-29,3301.0
p09,2019-12-01,2034.0
p09,2019-12-02,1189.0
p09,2019-12-03,5528.0
p09,2019-12-15,3203.0
p09,2019-12-16,1322.0
p09,2019-12-18,1478.0
p09,2019-12-21,2969.0
p09,2019-12-22,1442.0
p09,2019-12-23,5764.0
p09,2019-12-31,1657.0
p09,2020-01-05,2431.0
p09,2020-01-07,5115.0
p09,2020-01-08,2736.0
p09,2020-01-11,1199.0
p09,2020-01-18,2043.0
p09,2020-01-19,23037.0
p09,2020-01-22,1911.0
p09,2020-01-23,1319.0
p09,2020-01-26,6346.0
p09,2020-02-01,8911.0
p09,2020-02-02,3013.0
p09,2020-02-20,1120.0
p09,2020-02-22,4626.0
p09,2020-02-23,4269.0
p09,2020-03-04,1766.0
p09,2020-03-07,6375.0
p09,2020-03-08,3185.0
p09,2020-03-10,1636.0
p09,2020-03-13,888.0
p09,2020-03-15,2307.0
p09,2020-03-20,13776.0
p09,2020-03-26,3998.0
p10,2019-11-07,6241.0
p10,2019-11-08,1484.0
p10,2019-11-09,3092.0
p10,2019-11-10,7220.0
p10,2019-11-11,1424.0
p10,2019-11-12,1852.0
p10,2019-11-13,2824.0
p10,2019-11-15,1683.0
p10,2019-11-16,2998.0
p10,2019-11-17,1027.0
p10,2019-11-18,1931.0
p10,2019-11-19,2536.0
p10,2019-11-22,5110.0
p10,2019-11-23,2892.0
p10,2019-11-24,2415.0
p10,2019-11-25,2049.0
p10,2019-11-26,2332.0
p10,2019-11-28,2835.0
p10,2019-11-29,3705.0
p10,2019-12-02,1494.0
p10,2019-12-03,3269.0
p10,2019-12-04,4142.0
p10,2019-12-05,2690.0
p10,2019-12-07,2355.0
p10,2019-12-08,7752.0
p10,2019-12-10,4912.0
p10,2019-12-13,10310.0
p10,2019-12-14,9143.0
p10,2019-12-15,1137.0
p10,2019-12-17,2695.0
p10,2019-12-19,5411.0
p10,2019-12-20,1878.0
p10,2019-12-21,1602.0
p10,2019-12-22,5599.0
p10,2019-12-24,2840.0
p10,2019-12-28,0.0
p10,2019-12-30,2141.0
p10,2019-12-31,0.0
p10,2020-01-02,3988.0
p10,2020-01-03,6307.0
p10,2020-01-04,11700.0
p10,2020-01-06,4803.0
p10,2020-01-07,2302.0
p10,2020-01-08,1354.0
p10,2020-01-10,1296.0
p10,2020-01-11,6195.0
p10,2020-01-12,4345.0
p10,2020-01-13,4872.0
p10,2020-01-14,3477.0
p10,2020-01-16,4776.0
p10,2020-01-17,1319.0
p10,2020-01-18,1688.0
p10,2020-01-20,6605.0
p10,2020-01-21,6667.0
p10,2020-01-22,4275.0
p10,2020-01-23,5766.0
p10,2020-01-24,2736.0
p10,2020-01-25,8057.0
p10,2020-01-26,11613.0
p10,2020-01-29,1563.0
p10,2020-01-30,6583.0
