Participant_ID,Dates,Distance
p07,2019-12-13,5.471335
p07,2019-12-14,9.768359
p07,2019-12-15,6.146866
p07,2019-12-16,11.515023
p07,2019-12-17,4.965578
p07,2019-12-18,10.331687
p07,2019-12-19,7.188195
p07,2019-12-20,8.117
p07,2019-12-21,6.226335
p07,2019-12-23,3.562289
p07,2019-12-24,11.191523
p07,2019-12-25,3.047515
p07,2019-12-26,7.141953
p07,2019-12-27,9.667539
p07,2019-12-28,7.572843
p07,2019-12-29,2.884851
p07,2019-12-30,9.821515
p07,2019-12-31,8.129242
p07,2020-01-01,7.950859
p07,2020-01-02,8.08846
p07,2020-01-04,14.94562
p07,2020-01-08,4.143304
p07,2020-01-09,5.234335
p07,2020-01-11,0.0
p07,2020-01-13,0.0
p07,2020-01-14,7.600453
p07,2020-01-15,0.0
p07,2020-01-16,7.731382
p07,2020-01-17,10.439031
p07,2020-01-18,8.593257
p07,2020-01-20,5.460937
p07,2020-01-21,11.567288
p07,2020-01-22,7.064359
p07,2020-01-23,5.523117
p07,2020-01-24,1.9
p07,2020-01-25,5.327429
p07,2020-01-26,0.0
p07,2020-01-27,10.639343
p07,2020-01-28,11.503921
p07,2020-01-29,7.383125
p07,2020-01-30,8.858437
p07,2020-01-31,12.581046
p07,2020-02-01,12.133367
p07,2020-02-02,8.151773
p07,2020-02-03,2.692593
p07,2020-02-04,11.611414
p07,2020-02-05,4.157609
p07,2020-02-06,0.0
p07,2020-02-07,11.995203
p07,2020-02-08,10.441304
p07,2020-02-09,4.692625
p07,2020-02-10,11.77339
p07,2020-02-11,5.48175
p07,2020-02-12,11.205875
p07,2020-02-13,10.906585
p07,2020-02-14,5.161828
p07,2020-02-15,5.01146
p07,2020-02-16,2.742671
p07,2020-02-17,9.288039
p07,2020-02-18,10.801734
p07,2020-02-19,0.0
p07,2020-02-20,8.209421
p07,2020-02-21,0.108515
p07,2020-02-22,6.929781
p07,2020-02-23,11.576664
p07,2020-02-24,9.809453
p07,2020-02-25,7.412148
p07,2020-02-26,11.749976
p07,2020-02-27,7.219164
p07,2020-02-28,11.629757
p07,2020-02-29,0.0
p07,2020-03-01,0.0
p07,2020-03-03,0.0
p07,2020-03-04,3.096617
p07,2020-03-05,1.821554
p07,2020-03-07,0.0
p07,2020-03-08,6.014999
p07,2020-03-11,10.521562
p07,2020-03-12,9.597859
p07,2020-03-13,0.0
p07,2020-03-14,8.820289
p07,2020-03-16,10.683617
p07,2020-03-17,13.033006
p07,2020-03-18,12.138413
p07,2020-03-19,0.0
p07,2020-03-20,7.609726
p07,2020-03-21,13.332789
p07,2020-03-23,10.90621
p07,2020-03-24,13.546233
p07,2020-03-26,10.029375
p07,2020-03-30,0.0
p08,2019-11-11,4.935664
p08,2019-11-12,11.006538
p08,2019-11-13,0.0
p08,2019-11-14,6.587093
p08,2019-11-15,0.0
p08,2019-11-16,0.0
p08,2019-11-17,11.833968
p08,2019-11-18,5.78646
p08,2019-11-19,5.311359
p08,2019-11-20,3.200271
p08,2019-11-21,1.782671
p08,2019-11-22,0.0
p08,2019-11-23,7.602646999999999
p08,2019-11-24,0.0
p08,2019-11-25,0.0
p08,2019-11-26,7.264976
p08,2019-11-27,1.878217
p08,2019-11-28,5.486132
p08,2019-11-29,0.0
p08,2019-11-30,8.187123999999999
p08,2019-12-01,17.962734
p08,2019-12-02,9.210062
p08,2019-12-03,5.970179
p08,2019-12-04,3.787058
p08,2019-12-05,2.674023
p08,2019-12-06,0.0
p08,2019-12-07,0.0
p08,2019-12-08,24.59421
p08,2019-12-09,0.0
p08,2019-12-10,8.848781
p08,2019-12-11,5.627656
p08,2019-12-12,4.924171
p08,2019-12-17,6.887093
p08,2019-12-18,7.779421
p08,2019-12-19,0.0
p08,2019-12-20,0.0
p08,2019-12-21,10.98814
p08,2019-12-22,6.897617
p08,2019-12-23,11.556992
p08,2019-12-24,0.5750000000000001
p08,2019-12-26,5.501023
p08,2019-12-27,9.960937
p08,2019-12-29,9.021921
p08,2019-12-30,10.930968
p08,2019-12-31,4.130148
p08,2020-01-01,7.127296
p08,2020-01-02,7.968718
p08,2020-01-03,0.0
p08,2020-01-04,16.172132
p08,2020-01-05,7.24364
p08,2020-01-06,5.330272
p08,2020-01-07,11.151242
p08,2020-01-08,0.0
p08,2020-01-09,6.062359
p08,2020-01-10,13.970999
p08,2020-01-11,0.0
p08,2020-01-18,0.0
p08,2020-01-19,0.0
p08,2020-01-21,8.872413
p08,2020-01-23,1.7505000000000002
p08,2020-01-26,0.0
p08,2020-01-27,0.0
p08,2020-01-29,0.0
p08,2020-01-31,10.22021
p08,2020-02-01,7.934272
p08,2020-02-02,10.883054
p08,2020-02-03,9.26546
p08,2020-02-04,9.390115
p08,2020-02-05,0.0
