Participant_ID,Dates,Active_Duration_in_mins
p05,2020-01-04,31.58333333333333
p05,2020-01-05,30.366666666666667
p05,2020-01-06,178.38333333333333
p05,2020-01-07,123.31666666666666
p05,2020-01-08,59.73333333333333
p05,2020-01-09,86.2
p05,2020-01-10,74.23333333333333
p05,2020-01-12,34.96666666666667
p05,2020-01-13,50.33333333333333
p05,2020-01-14,50.35
p05,2020-01-15,35.85
p05,2020-01-16,36.68333333333334
p05,2020-01-19,58.016666666666666
p05,2020-01-20,79.35
p05,2020-01-22,54.6
p05,2020-01-23,22.183333333333334
p05,2020-01-24,77.65
p05,2020-01-25,62.31666666666666
p05,2020-01-26,75.95
p05,2020-01-27,20.48333333333333
p05,2020-01-28,19.633333333333333
p05,2020-01-29,17.916666666666668
p05,2020-01-31,26.466666666666665
p05,2020-02-01,35.833333333333336
p05,2020-02-03,43.516666666666666
p05,2020-02-04,72.55
p05,2020-02-05,39.25
p05,2020-02-06,15.35
p05,2020-02-07,57.16666666666666
p05,2020-02-13,25.48333333333333
p05,2020-02-15,80.21666666666667
p05,2020-02-17,37.53333333333333
p05,2020-02-18,35.83333333333333
p05,2020-02-19,57.15
p05,2020-02-20,16.216666666666665
p05,2020-03-07,45.23333333333333
p05,2020-03-08,16.216666666666665
p05,2020-03-12,34.15
p05,2020-03-13,39.25
p05,2020-03-16,67.41666666666667
p05,2020-03-17,85.33333333333333
p05,2020-03-18,117.76666666666668
p05,2020-03-21,35.0
p05,2020-03-22,82.76666666666667
p05,2020-03-23,23.883333333333333
p05,2020-03-24,20.48333333333333
p05,2020-03-26,19.633333333333333
p05,2020-03-28,44.38333333333334
p05,2020-03-29,53.75
p06,2019-11-02,78.4
p06,2019-11-03,17.066666666666666
p06,2019-11-04,60.55
p06,2019-11-05,62.45
p06,2019-11-06,44.38333333333334
p06,2019-11-07,41.833333333333336
p06,2019-11-08,43.53333333333333
p06,2019-11-11,29.98333333333333
p06,2019-11-12,32.233333333333334
p06,2019-11-13,35.28333333333333
p06,2019-11-14,50.36666666666667
p06,2019-11-16,46.03333333333333
p06,2019-11-17,35.81666666666667
p06,2019-11-18,60.85
p06,2019-11-20,40.05
p06,2019-11-24,80.58333333333334
p06,2019-11-25,40.95
