logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,source,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,speed,tcxLink,pace,vo2Max,swimLengths,poolLength,poolLengthUnit
26833940224,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 65, 'name': 'very'}]",152.0,815,4080000,4079000,10266.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 4}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 4}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 41}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 19}]",11/20/19 17:43:54,2019-11-20 16:35:05,11/20/19 16:35:05,4080000,153.924,False,False,11.267054,Kilometer,9.883372395194902,,,,,,
26869936032,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 2, 'name': 'fairly'}, {'minutes': 49, 'name': 'very'}]",148.0,590,3123000,3119000,6522.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 2}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 11}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 23}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 16}]",11/21/19 16:16:19,2019-11-21 14:26:48,11/21/19 14:26:48,3123000,115.824,False,False,6.8278669999999995,Kilometer,7.88328438602116,,,,,,
26887143080,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 32, 'name': 'very'}]",112.0,270,2099000,2099000,3495.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 34}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/21/19 17:15:14,2019-11-21 16:20:21,11/21/19 16:20:21,2099000,6.096,False,False,,,,,,,,,
26918968108,Treadmill,20049,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 25, 'name': 'very'}]",124.0,359,2538000,2536000,3591.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 14}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 10}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 11}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 8}]",11/24/19 10:54:15,2019-11-23 10:38:58,11/23/19 10:38:58,2538000,103.937,False,False,3.530226,Kilometer,5.013085173501577,,,,,,
26919086316,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 85, 'name': 'very'}]",136.0,895,5107000,5105000,13897.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'VO2_MAX', 'HEARTRATE', 'CALORIES', 'ELEVATION', 'STEPS', 'GPS', 'PACE']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 64}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 9}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 12}]",11/24/19 13:48:06,2019-11-24 12:22:18,11/24/19 12:22:18,5107000,91.44,False,False,15.60307,Kilometer,11.004307933398628,,327.144607529004,,,,
26967095339,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 46, 'name': 'very'}]",142.0,512,2791000,2790000,7302.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 1}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 2}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 43}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/25/19 17:31:15,2019-11-25 16:41:14,11/25/19 16:41:14,2791000,53.035,False,False,8.119531,Kilometer,10.484529032258065,,,,,,
27007662015,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",111.0,120,922000,922000,1188.0,,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 11}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 0}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/26/19 15:41:13,2019-11-26 15:15:45,11/26/19 15:15:45,922000,15.24,False,False,,,,,,,,,
26990258203,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",110.0,106,792000,790000,1468.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 6}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 4}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 4}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/26/19 21:20:17,2019-11-26 15:53:00,11/26/19 15:53:00,792000,0.914,False,False,1.453476,Kilometer,6.623453164556962,,,,,,
26990258202,Treadmill,20049,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 41, 'name': 'very'}]",150.0,481,2549000,2547000,5255.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 0}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 12}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 11}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 19}]",11/26/19 21:20:17,2019-11-26 16:06:20,11/26/19 16:06:20,2549000,82.296,False,False,5.352984,Kilometer,7.566049469964663,,,,,,
26982298888,Treadmill,20049,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 56, 'name': 'very'}]",137.0,631,3635000,3633000,8846.0,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150434999', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['DISTANCE', 'HEARTRATE', 'CALORIES', 'STEPS']}",tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 97, 'minutes': 4}, {'name': 'Fat Burn', 'min': 97, 'max': 135, 'minutes': 8}, {'name': 'Cardio', 'min': 135, 'max': 164, 'minutes': 48}, {'name': 'Peak', 'min': 164, 'max': 220, 'minutes': 0}]",11/27/19 17:17:52,2019-11-27 16:03:14,11/27/19 16:03:14,3635000,31.699,False,False,9.523554,Kilometer,9.371990090834021,,,,,,
