logId,activityName,activityTypeId,activityLevel,averageHeartRate,calories,duration,activeDuration,steps,logType,manualValuesSpecified,heartRateZones,lastModified,startTime,originalStartTime,originalDuration,elevationGain,hasGps,shouldFetchDetails,distance,distanceUnit,source,speed,tcxLink,pace,vo2Max
28613972281,Run,90009,"[{'minutes': 96, 'name': 'sedentary'}, {'minutes': 19, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 83, 'name': 'very'}]",88.0,1059,14014000,12142000,10855.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 109}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 60}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 24}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 9}]",02/04/20 19:19:38,2020-02-04 15:25:52,02/04/20 15:25:52,14014000,299.618,True,True,7.463109,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",2.186533025860649,https://www.fitbit.com/activities/exercise/28613972281?export=tcx,1646.4420877352131,
28683890901,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",93.0,276,2150000,2150000,4034.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 4}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 32}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/05/20 07:18:42,2020-02-05 06:19:37,02/05/20 06:19:37,2150000,12.192,False,False,,,,,,,
28708311782,Run,90009,"[{'minutes': 6, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 9, 'name': 'fairly'}, {'minutes': 137, 'name': 'very'}]",112.0,1466,9324000,9321000,12130.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 19}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 62}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 64}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 11}]",02/06/20 14:47:50,2020-02-06 12:12:18,02/06/20 12:12:18,9324000,428.244,True,True,13.165242,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",5.047160605085291,https://www.fitbit.com/activities/exercise/28708311782?export=tcx,713.2723290740545,
28739149769,Run,90009,"[{'minutes': 16, 'name': 'sedentary'}, {'minutes': 17, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 128, 'name': 'very'}]",111.0,1454,10164000,10162000,11482.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 28}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 42}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 92}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 6}]",02/07/20 15:01:51,2020-02-07 12:12:18,02/07/20 12:12:18,10164000,822.655,True,True,11.666789,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",4.086038968706948,https://www.fitbit.com/activities/exercise/28739149769?export=tcx,881.048866046239,
28737735480,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 27, 'name': 'very'}]",113.0,303,1964000,1963000,2842.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 0}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 19}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 13}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/08/20 11:16:42,2020-02-08 10:43:50,02/08/20 10:43:50,1964000,134.417,True,True,2.924328,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",5.255889964340295,https://www.fitbit.com/activities/exercise/28737735480?export=tcx,684.9458463599822,
28737432893,Run,90009,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 19, 'name': 'fairly'}, {'minutes': 91, 'name': 'very'}]",91.0,970,8485000,6862000,12220.0,tracker,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 38}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 69}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 8}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/09/20 11:01:33,2020-02-09 08:39:59,02/09/20 08:39:59,8485000,347.777,True,True,7.615625,Kilometer,"{'type': 'tracker', 'name': 'Versa 2', 'id': '150532704', 'url': 'https://www.fitbit.com/', 'trackerFeatures': ['STEPS', 'VO2_MAX', 'GPS', 'PACE', 'HEARTRATE', 'DISTANCE', 'ELEVATION', 'CALORIES']}",3.9617050422617313,https://www.fitbit.com/activities/exercise/28737432893?export=tcx,908.6996537088903,
28839274343,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 28, 'name': 'very'}]",90.0,258,2048000,2048000,3774.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 5}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 29}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/11/20 09:28:07,2020-02-11 08:26:13,02/11/20 08:26:13,2048000,12.192,False,False,,,,,,,
28846792065,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 31, 'name': 'very'}]",90.0,272,1997000,1997000,3658.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 3}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 31}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/11/20 16:57:50,2020-02-11 16:19:53,02/11/20 16:19:53,1997000,54.864,False,False,,,,,,,
28859742042,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 26, 'name': 'very'}]",92.0,257,1997000,1997000,3737.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 6}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 27}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/12/20 07:20:33,2020-02-12 06:36:46,02/12/20 06:36:46,1997000,15.24,False,False,,,,,,,
28871373903,Walk,90013,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 3, 'name': 'fairly'}, {'minutes': 24, 'name': 'very'}]",81.0,292,2304000,2304000,3683.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 11}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 14}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 0}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/12/20 16:11:46,2020-02-12 15:16:32,02/12/20 15:16:32,2304000,39.624,False,False,,,,,,,
28888279863,Walk,90013,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 38, 'name': 'very'}]",98.0,351,2611000,2611000,4430.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 4}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 36}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 2}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/13/20 07:47:20,2020-02-13 06:39:55,02/13/20 06:39:55,2611000,15.24,False,False,,,,,,,
28897845757,Walk,90013,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 0, 'name': 'lightly'}, {'minutes': 1, 'name': 'fairly'}, {'minutes': 33, 'name': 'very'}]",103.0,306,2100000,2100000,3677.0,auto_detected,"{'calories': False, 'distance': False, 'steps': False}","[{'name': 'Out of Range', 'min': 30, 'max': 83, 'minutes': 0}, {'name': 'Fat Burn', 'min': 83, 'max': 116, 'minutes': 29}, {'name': 'Cardio', 'min': 116, 'max': 141, 'minutes': 3}, {'name': 'Peak', 'min': 141, 'max': 220, 'minutes': 0}]",02/13/20 16:51:22,2020-02-13 16:04:03,02/13/20 16:04:03,2100000,51.816,False,False,,,,,,,
